had|have|1 2 3|||
bought|buy|1 2|||
drank|drink|1 2 4|||
hit|hit|1 2 4 5||||hitted
drove|drive|1 2 4 5|||
shut|shut|1 2||||shutted
got|get|1 2 3|||
saw|see|1 2|||
did|do|1 2|||
read|read|1 2 3 4 5||||readed
ate|eat|1 2 4 5|||
caught|catch|1 2|||
thought|think|1 2|||
began|begin|1 2 4 5||||begun
rode|ride|1 2 4 5|||
shook|shake|1 2 4 5|||
swept|sweep|1 2 4 5|||
wound|wind|1 2|||
gave|give|1 2 3 5||||
tore|tear|1 2 3 5|||
wore|wear|1 2 3||||
built|build|1 2 4 5|||
let|let|3||||letted
brought|bring|1 2 5|||
spent|spend|1 2 5|||
heard|hear|1 2 5||||
said|say|1 2||||
broke|break|1 2|||
wrote|write|1 2 4 5||||
sang|sing|1 2 4 5|||
blew|blow|1 2 3 4 5|||
threw|throw|1 2 3 5|||
grew|grow|1 2 5|||
took|take|1 2 3|||
set|set|3||||setted
kept|keep|1 2 3|||
told|tell|2|||
ground|grind|1 2|||
paid|pay|1 2 4|||
hid|hide|1 2 4 5|||
fed|feed|2|||
bet|bet|1 2 4||||betted
sped|speed|4|||
led|lead|1 2 5|||
made|make|1 2|||
cut|cut|1 2 3 4 5||||cutted
bound|bind|1 2 6||||
went|go|4|||
stood|stand|4 5|||
fled|flee|4|||
woke|wake|4|||
spoke|speak|4|||
swam|swim|4|||
fell|fall|4|||
ran|run|4 5|||
taught|teach|4 5|||
flew|fly|4 5 6|||
slept|sleep|4|||
sold|sell|5 6|||
crept|creep|4|||
laid|lay|4 5 7|||
slid|slide|4 5 6|||
found|find|6|||
