had,have,Do you know what I ,What did you 
bought,buy,Do you know what I ,What did you 
drank,drink,Do you know what I ,What did you 
hit,hit,Do you know what I ,What did you ,hitted
drove,drive,Do you know what I ,What did you 
shut,shut,Do you know what I ,What did you ,shutted
got,get,Do you know what I ,What did you 
saw,see,Do you know what I ,What did you 
did,do,Do you know what I ,What did you 
read,read,Do you know what I ,What did you ,readed
ate,eat,Do you know what I ,What did you 
caught,catch,Do you know what I ,What did you 
thought,think,Do you know what I ,What did you 
began,begin,Do you know what I ,What did you ,begun
rode,ride,Do you know what I ,What did you 
shook,shake,Do you know what I ,What did you 
put,put,Do you know what I ,What did you ,putted
swept,sweep,Do you know what I ,What did you 
wound,wind,Do you know what I ,What did you 
gave,give,Do you know what I ,What did you ,gived
tore,tear,Do you know what I ,What did you 
wore,wear,Do you know what I ,What did you ,wored
built,build,Do you know what I ,What did you 
let,let,Do you know what I ,What did you ,letted
brought,bring,Do you know what I ,What did you 
spent,spend,Do you know what I ,What did you 
heard,hear,Do you know what I ,What did you ,hearded
said,say,Do you know what I ,What did you ,sayed
broke,break,Do you know what I ,What did you ,broked
wrote,write,Do you know what I ,What did you ,wroted
sang,sing,Do you know what I ,What did you 
blew,blow,Do you know what I ,What did you 
threw,throw,Do you know what I ,What did you 
grew,grow,Do you know what I ,What did you 
took,take,Do you know what I ,What did you 
set,set,Do you know what I ,What did you ,setted
kept,keep,Do you know what I ,What did you 
told,tell,Do you know what I ,What did you 
ground,grind,Do you know what I ,What did you 
paid,pay,Do you know what I ,What did you 
hid,hide,Do you know what I ,What did you 
fed,feed,Do you know what I ,What did you 
bet,bet,Do you know what I ,What did you ,betted
sped,speed,Do you know what I ,What did you 
led,lead,Do you know what I ,What did you 
made,make,Do you know what I ,What did you 
cut,cut,Do you know what I ,What did you ,cutted
